Boss,Game,Relation,Species
King Bob-omb,Mario Kart Arcade GP DX,BOSS_IN,Bob-omb
King Bob-omb,Mario Party 5 / Mario Party: The Top 100,BOSS_IN,Bob-omb
King Bob-omb,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,Bob-omb
King Bob-omb,Mario Golf: World Tour,BOSS_IN,Bob-omb
King Bob-omb,Mario Kart Tour,BOSS_IN,Bob-omb
King Bob-omb,Mario Party Advance,BOSS_IN,Bob-omb
King Bob-omb,Mario Golf: Super Rush,BOSS_IN,Bob-omb
King Bob-omb,Mario Party 8,BOSS_IN,Bob-omb
King Bob-omb,Mario Party 9,BOSS_IN,Bob-omb
King Bob-omb,Mario Party: Island Tour,BOSS_IN,Bob-omb
King Bob-omb,Mario Party: Star Rush,BOSS_IN,Bob-omb
King Bob-omb,Super Mario Party,BOSS_IN,Bob-omb
King Bob-omb,Mario Party Superstars,BOSS_IN,Bob-omb
King Bob-omb,Super Mario Party Jamboree,BOSS_IN,Bob-omb
King K. Rool,Super Smash Bros. Ultimate,BOSS_IN,Kremling
Larry,Super Mario Bros. 3,BOSS_IN,Koopa
Larry,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,Koopa
Larry,Mario & Luigi: Superstar Saga,BOSS_IN,Koopa
Larry,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN,Koopa
Larry,Super Mario World,BOSS_IN,Koopa
Larry,Mario Kart Tour,BOSS_IN,Koopa
Larry,Mario & Luigi: Paper Jam,BOSS_IN,Koopa
Larry,Super Smash Bros. Ultimate,BOSS_IN,Koopa
Larry,New Super Mario Bros. Wii,BOSS_IN,Koopa
Larry,Mario Kart Live: Home Circuit,BOSS_IN,Koopa
Larry,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,Koopa
Larry,New Super Mario Bros. 2,BOSS_IN,Koopa
Larry,Mario Kart World,BOSS_IN,Koopa
Larry,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,Koopa
Larry,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,Koopa
Larry,Super Mario Maker 2,BOSS_IN,Koopa
Lemmy,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN,Koopa
Lemmy,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,Koopa
Lemmy,Mario & Luigi: Superstar Saga,BOSS_IN,Koopa
Lemmy,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN,Koopa
Lemmy,Super Mario World / Super Mario World: Super Mario Advance 2,BOSS_IN,Koopa
Lemmy,Mario Kart Tour,BOSS_IN,Koopa
Lemmy,Mario & Luigi: Paper Jam,BOSS_IN,Koopa
Lemmy,Super Smash Bros. Ultimate,BOSS_IN,Koopa
Lemmy,New Super Mario Bros. Wii,BOSS_IN,Koopa
Lemmy,Mario Kart Live: Home Circuit,BOSS_IN,Koopa
Lemmy,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,Koopa
Lemmy,New Super Mario Bros. 2,BOSS_IN,Koopa
Lemmy,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,Koopa
Lemmy,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,Koopa
Lemmy,Super Mario Maker 2,BOSS_IN,Koopa
Lakitu,Super Mario Bros.,BOSS_IN,
Lakitu,Mario Kart 7,BOSS_IN,
Lakitu,Mario Party,BOSS_IN,
Lakitu,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,
Lakitu,Paper Mario,BOSS_IN,
Lakitu,Mario & Sonic at the Olympic Games,BOSS_IN,
Lakitu,Super Mario Bros.: The Lost Levels,BOSS_IN,
Lakitu,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Lakitu,Mario Party 2,BOSS_IN,
Lakitu,Mario & Luigi: Partners in Time,BOSS_IN,
Lakitu,Paper Mario: The Thousand-Year Door,BOSS_IN,
Lakitu,Mario & Sonic at the Olympic Winter Games,BOSS_IN,
Lakitu,Super Mario Bros. (Game & Watch),BOSS_IN,
Lakitu,Mario Kart Arcade GP DX,BOSS_IN,
Lakitu,Mario Party 3,BOSS_IN,
Lakitu,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,
Lakitu,Super Paper Mario,BOSS_IN,
Lakitu,Mario & Sonic at the London 2012 Olympic Games,BOSS_IN,
Lakitu,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN,
Lakitu,Mario Kart Tour,BOSS_IN,
Lakitu,Mario Party 4,BOSS_IN,
Lakitu,Mario & Luigi: Dream Team,BOSS_IN,
Lakitu,Paper Mario: Sticker Star,BOSS_IN,
Lakitu,Mario & Sonic at the Sochi 2014 Olympic Winter Games,BOSS_IN,
Lakitu,Super Mario World / Super Mario World: Super Mario Advance 2,BOSS_IN,
Lakitu,Mario Kart World,BOSS_IN,
Lakitu,Mario Party-e,BOSS_IN,
Lakitu,Mario & Luigi: Paper Jam,BOSS_IN,
Lakitu,Paper Mario: Color Splash,BOSS_IN,
Lakitu,Mario & Sonic at the Rio 2016 Olympic Games,BOSS_IN,
Lakitu,Super Mario 64 / Super Mario 64 DS,BOSS_IN,
Lakitu,Mario Party 5,BOSS_IN,
Lakitu,Mario & Luigi: Brothership,BOSS_IN,
Lakitu,Mario & Sonic at the Olympic Games Tokyo 2020,BOSS_IN,
Lakitu,New Super Mario Bros.,BOSS_IN,
Lakitu,Mario Party 6,BOSS_IN,
Lakitu,New Super Mario Bros. Wii,BOSS_IN,
Lakitu,Mario Party Advance,BOSS_IN,
Lakitu,Super Mario Galaxy 2,BOSS_IN,
Lakitu,Mario Party 7,BOSS_IN,
Lakitu,New Super Mario Bros. 2,BOSS_IN,
Lakitu,Mario Party 8,BOSS_IN,
Lakitu,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Lakitu,Mario Party 9,BOSS_IN,
