Game,Relation,Figure,Species,Console,Year,Sales
super mario galaxy,BOSS_IN,bowser jr.,koopa,Wii,2007,11.35
mario kart wii,BOSS_IN,bowser jr.,koopa,Wii,2008,35.52
mario party: island tour,BOSS_IN,bowser jr.,koopa,3DS,2013,1.92
mario & luigi: superstar saga + bowser's minions,BOSS_IN,bowser jr.,koopa,3DS,2017,
super smash bros. ultimate,BOSS_IN,bowser jr.,koopa,Switch,2018,
mario golf: super rush,BOSS_IN,bowser jr.,koopa,Switch,2021,
mario tennis: ultra smash,BOSS_IN,bowser jr.,koopa,WiiU,2015,
mario & sonic at the sochi 2014 olympic winter games,BOSS_IN,bowser jr.,koopa,WiiU,2013,0.78
new super mario bros. wii,BOSS_IN,bowser jr.,koopa,Wii,2009,28.32
mario kart arcade gp dx,BOSS_IN,bowser jr.,koopa,Arcade,2013,
mario party 10,BOSS_IN,bowser jr.,koopa,WiiU,2015,1.58
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,bowser jr.,koopa,3DS,2018,
mario tennis aces,BOSS_IN,bowser jr.,koopa,Switch,2018,
mario & sonic at the rio 2016 olympic games,BOSS_IN,bowser jr.,koopa,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,BOSS_IN,bowser jr.,koopa,3DS,2016,0.8700000000000001
super mario galaxy 2,BOSS_IN,bowser jr.,koopa,Wii,2010,7.51
mario party: star rush,BOSS_IN,bowser jr.,koopa,3DS,2016,0.3
mario & luigi: brothership,BOSS_IN,bowser jr.,koopa,Switch,2024,
mario & sonic at the olympic games tokyo 2020,BOSS_IN,bowser jr.,koopa,Switch,2019,
mario kart tour,BOSS_IN,bowser jr.,koopa,Mobile,2019,
mario party: the top 100,BOSS_IN,bowser jr.,koopa,3DS,2017,
mario kart live: home circuit,BOSS_IN,bowser jr.,koopa,Switch,2020,
super mario party,BOSS_IN,bowser jr.,koopa,Switch,2018,
super mario maker 2,BOSS_IN,bowser jr.,koopa,Switch,2019,
mario kart world,BOSS_IN,bowser jr.,koopa,Switch 2,2025,
mario party superstars,BOSS_IN,bowser jr.,koopa,Switch,2021,
