Character,Game,Relation,Species
Princess Daisy,Mario Kart World,CHARACTER_IN,Human
Professor E. Gadd,Luigi's Mansion,CHARACTER_IN,Human
Professor E. Gadd,Mario Party 4,CHARACTER_IN,Human
Professor E. Gadd,Mario Party 5,CHARACTER_IN,Human
Professor E. Gadd,Mario & Luigi: Superstar Saga,CHARACTER_IN,Human
Professor E. Gadd,Mario Party 6,CHARACTER_IN,Human
Professor E. Gadd,Mario Party Advance,CHARACTER_IN,Human
Professor E. Gadd,Mario Kart Arcade GP,CHARACTER_IN,Human
Professor E. Gadd,Mario Party 7,CHARACTER_IN,Human
Professor E. Gadd,Mario & Luigi: Partners in Time,CHARACTER_IN,Human
Professor E. Gadd,Mario Kart Arcade GP 2,CHARACTER_IN,Human
Professor E. Gadd,Luigi's Mansion: Dark Moon,CHARACTER_IN,Human
Professor E. Gadd,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Human
Professor E. Gadd,Luigi's Mansion Arcade,CHARACTER_IN,Human
Professor E. Gadd,Super Mario Maker (version 1.32),CHARACTER_IN,Human
Professor E. Gadd,Mario & Luigi: Superstar Saga + Bowser's Minions,CHARACTER_IN,Human
Professor E. Gadd,Luigi's Mansion,CHARACTER_IN,Human
Professor E. Gadd,Super Smash Bros. Ultimate,CHARACTER_IN,Human
Professor E. Gadd,Luigi's Mansion 3,CHARACTER_IN,Human
Professor E. Gadd,Luigi's Mansion 2 HD,CHARACTER_IN,Human
Princess Peach,Super Mario Bros.,CHARACTER_IN,Human
Princess Peach,VS. Super Mario Bros.,CHARACTER_IN,Human
Princess Peach,Super Mario Bros.: The Lost Levels,CHARACTER_IN,Human
Princess Peach,Super Mario Bros. Special,CHARACTER_IN,Human
Princess Peach,Super Mario Bros.,CHARACTER_IN,Human
Princess Peach,I am a teacher: Super Mario Sweater,CHARACTER_IN,Human
Princess Peach,All Night Nippon: Super Mario Bros.,CHARACTER_IN,Human
Princess Peach,Super Mario Bros. 2,CHARACTER_IN,Human
Princess Peach,Super Mario Bros. 3,CHARACTER_IN,Human
Princess Peach,Tetris,CHARACTER_IN,Human
Princess Peach,Super Mario Bros.,CHARACTER_IN,Human
Princess Peach,Qix,CHARACTER_IN,Human
Princess Peach,Princess Toadstool's Castle Run,CHARACTER_IN,Human
Princess Peach,Super Mario World,CHARACTER_IN,Human
Princess Peach,Super Mario Bros. Print World,CHARACTER_IN,Human
Princess Peach,NES Open Tournament Golf,CHARACTER_IN,Human
Princess Peach,Mario Roulette,CHARACTER_IN,Human
Princess Peach,Mario Teaches Typing,CHARACTER_IN,Human
Princess Peach,Super Mario Bros. & Friends: When I Grow Up,CHARACTER_IN,Human
Princess Peach,Super Mario Kart,CHARACTER_IN,Human
Princess Peach,Yoshi's Cookie,CHARACTER_IN,Human
Princess Peach,The Legend of Zelda: Link's Awakening,CHARACTER_IN,Human
Princess Peach,Mario is Missing! ( CD ROM Deluxe ),CHARACTER_IN,Human
Princess Peach,Super Mario All-Stars,CHARACTER_IN,Human
Princess Peach,Yoshi's Safari,CHARACTER_IN,Human
Princess Peach,Mario & Wario,CHARACTER_IN,Human
Princess Peach,Mario Undōkai,CHARACTER_IN,Human
Princess Peach,Mario's Early Years! Fun with Letters,CHARACTER_IN,Human
Princess Peach,Wario Land: Super Mario Land 3,CHARACTER_IN,Human
Princess Peach,Mario's Early Years! Fun with Numbers,CHARACTER_IN,Human
Princess Peach,Mario's Early Years! Preschool Fun,CHARACTER_IN,Human
Princess Peach,Hotel Mario,CHARACTER_IN,Human
Princess Peach,Mario's Game Gallery,CHARACTER_IN,Human
Princess Peach,Mario's Tennis,CHARACTER_IN,Human
Princess Peach,Mario Clash,CHARACTER_IN,Human
Princess Peach,Super Mario RPG: Legend of the Seven Stars,CHARACTER_IN,Human
Princess Peach,Kirby Super Star,CHARACTER_IN,Human
Princess Peach,Super Mario 64,CHARACTER_IN,Human
Princess Peach,Mario Teaches Typing 2,CHARACTER_IN,Human
Princess Peach,Mario Kart 64,CHARACTER_IN,Human
Princess Peach,Excitebike: Bun Bun Mario Battle Stadium (Ep. 3),CHARACTER_IN,Human
Princess Peach,Game & Watch Gallery,CHARACTER_IN,Human
Princess Peach,Game & Watch Gallery 2,CHARACTER_IN,Human
Princess Peach,The Legend of Zelda: Ocarina of Time,CHARACTER_IN,Human
Princess Peach,The Legend of Zelda: Link's Awakening DX,CHARACTER_IN,Human
Princess Peach,Mario Party,CHARACTER_IN,Human
Princess Peach,Game & Watch Gallery 3,CHARACTER_IN,Human
Princess Peach,Mario Golf,CHARACTER_IN,Human
Princess Peach,Mario Golf,CHARACTER_IN,Human
Princess Peach,Mario Party 2,CHARACTER_IN,Human
Princess Peach,Mario Tennis,CHARACTER_IN,Human
Princess Peach,Paper Mario,CHARACTER_IN,Human
Princess Peach,Mario Tennis,CHARACTER_IN,Human
Princess Peach,Mario Party 3,CHARACTER_IN,Human
Princess Peach,Super Mario Advance,CHARACTER_IN,Human
Princess Peach,Mario Kart: Super Circuit,CHARACTER_IN,Human
Princess Peach,Luigi's Mansion,CHARACTER_IN,Human
Princess Peach,Super Smash Bros. Melee,CHARACTER_IN,Human
Princess Peach,Super Mario World: Super Mario Advance 2,CHARACTER_IN,Human
Princess Peach,Super Mario Sunshine,CHARACTER_IN,Human
Princess Peach,Mario Party 4,CHARACTER_IN,Human
Princess Peach,Game & Watch Gallery 4,CHARACTER_IN,Human
Princess Peach,Nintendo Puzzle Collection,CHARACTER_IN,Human
Princess Peach,Mario Party-e,CHARACTER_IN,Human
Princess Peach,Super Mario Advance 4: Super Mario Bros. 3,CHARACTER_IN,Human
Princess Peach,Mario Golf: Toadstool Tour,CHARACTER_IN,Human
Princess Peach,Mario Kart: Double Dash!!,CHARACTER_IN,Human
Princess Peach,Mario Party 5,CHARACTER_IN,Human
Princess Peach,Mario & Luigi: Superstar Saga,CHARACTER_IN,Human
Princess Peach,Super Mario Fushigi no Janjan Land,CHARACTER_IN,Human
Princess Peach,Mario Golf: Advance Tour,CHARACTER_IN,Human
Princess Peach,Paper Mario: The Thousand-Year Door,CHARACTER_IN,Human
Princess Peach,WarioWare: Twisted!,CHARACTER_IN,Human
Princess Peach,Mario Power Tennis,CHARACTER_IN,Human
Princess Peach,Mario Party 6,CHARACTER_IN,Human
Princess Peach,Super Mario 64 DS,CHARACTER_IN,Human
Princess Peach,Mario Pinball Land,CHARACTER_IN,Human
Princess Peach,Super Mario Fushigi no Korokoro Party,CHARACTER_IN,Human
Princess Peach,Mario Party Advance,CHARACTER_IN,Human
Princess Peach,NBA Street V3,CHARACTER_IN,Human
Princess Peach,Yakuman DS,CHARACTER_IN,Human
Princess Peach,Mario Superstar Baseball,CHARACTER_IN,Human
Princess Peach,Mario Tennis: Power Tour,CHARACTER_IN,Human
Princess Peach,Mario Kart Arcade GP,CHARACTER_IN,Human
Princess Peach,SSX on Tour,CHARACTER_IN,Human
Princess Peach,Super Princess Peach,CHARACTER_IN,Human
Princess Peach,Mario Party 7,CHARACTER_IN,Human
Princess Peach,Mario Kart DS,CHARACTER_IN,Human
Princess Peach,Super Mario Strikers,CHARACTER_IN,Human
Princess Peach,Mario & Luigi: Partners in Time,CHARACTER_IN,Human
Princess Peach,Super Mario Fushigi no Korokoro Party 2,CHARACTER_IN,Human
Princess Peach,New Super Mario Bros.,CHARACTER_IN,Human
Princess Peach,Mario Hoops 3-on-3,CHARACTER_IN,Human
Princess Peach,WarioWare: Smooth Moves,CHARACTER_IN,Human
Princess Peach,Mario Kart Arcade GP 2,CHARACTER_IN,Human
Princess Peach,Picross DS,CHARACTER_IN,Human
Princess Peach,Super Paper Mario,CHARACTER_IN,Human
Princess Peach,Mario Strikers Charged,CHARACTER_IN,Human
Princess Peach,Mario Party 8,CHARACTER_IN,Human
Princess Peach,Itadaki Street DS,CHARACTER_IN,Human
Princess Peach,Super Mario Galaxy,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the Olympic Games,CHARACTER_IN,Human
Princess Peach,Mario Party DS,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the Olympic Games,CHARACTER_IN,Human
